SN 2007af 1239.69   18.003 022 16.370 006 15.845 006 16.055 007 16.792 008 15.941 007
SN 2007af 1246.66   18.167 022 16.480 006 16.053 006 16.295 008 16.869 007 16.110 007
SN 2007af 1256.68   18.296 037 16.630 005 16.384 005 16.638 007 17.009 008 16.350 006
SN 2007bd 1197.52   18.266 024 17.633 008 17.670 008 17.792 014 17.739 010 17.717 010
SN 2007bd 1199.53   17.674 017 17.134 008 17.171 010 17.382 017 17.231 008 17.254 010
SN 2007bd 1206.60   17.235 053 16.622 072 16.630 016 17.219 047 16.653 020 16.648 010
SN 2007bd 1207.54   17.254 096 16.549 008 16.605 007 17.257 014 16.665 007 16.636 012
SN 2007bd 1213.49   17.845 022 16.791 005 16.793 006 17.479 010 16.958 007 16.807 007
SN 2007bd 1218.51   18.444 029 17.163 007 17.207 007 18.028 017 17.408 010 17.108 008
SN 2007bd 1224.49   19.334 061 17.774 008 17.408 008 18.021 016 18.159 014 17.478 010
SN 2007bd 1227.55              18.083 010 17.440 008 17.850 014 18.483 020 17.650 010
SN 2007bd 1235.48   20.358 092 18.894 014 17.842 012 17.926 014 19.293 021 18.283 012
SN 2007bd 1239.48   20.668 147 19.177 014 18.131 010 18.203 021 19.606 033 18.611 020
SN 2007bd 1245.47   20.872 301 19.404 032 18.428 016 18.572 025 19.868 063 18.858 029
SN 2007bd 1259.45   21.322 343 19.769 056 18.938 025 19.262 045 20.113 049 19.322 028
SN 2007bd 1418.80   21.906 448 22.171 139 22.820 335 21.472 234 22.411 228 22.114 231
SN 2007bd 1422.81              22.147 131 22.553 236 21.626 222 22.630 246 22.334 241
SN 2007ca 1218.67   17.648 020 16.695 006 16.448 006 16.511 006 16.867 008 16.603 008
SN 2007ca 1224.70   16.936 025 16.067 008 15.834 008 16.082 014 16.214 010 15.916 007
SN 2007ca 1227.72              15.978 005 15.746 005 16.133 006 16.162 007 15.847 007
SN 2007ca 1229.68              16.000 004 15.739 004 16.215 005 16.191 006 15.857 006
SN 2007ca 1231.73              16.067 005 15.786 004 16.294 007 16.272 007 15.882 006
SN 2007ca 1232.69              16.100 004 15.807 004 16.325 006 16.316 006 15.911 006
SN 2007ca 1235.65   17.489 016 16.232 007 15.942 007 16.482 010 16.469 008 16.023 008
SN 2007ca 1239.66   17.935 021 16.456 005 16.219 006 16.845 008 16.772 007 16.218 006
SN 2007ca 1243.69   18.423 022 16.751 005 16.462 005 17.047 007 17.174 008 16.450 006
SN 2007ca 1246.63   18.693 036 16.974 006 16.532 005 17.025 008 17.443 010 16.595 008
SN 2007ca 1255.69   19.667 097 17.754 010 16.681 006 16.808 008 18.340 021 17.090 008
SN 2007ca 1259.61   19.964 107 18.072 008 16.825 006 16.816 008 18.604 022 17.316 010
SN 2007le 1387.78 a 16.764 018 15.455 005 15.127 005 15.472 007 15.657 006 15.321 007
SN 2007le 1388.58 a 16.357 017 15.142 005 14.813 004 15.131 004 15.310 005 15.006 005
SN 2007le 1392.59   15.170 017 14.238 006 14.002 007 14.333 008 14.346 006 14.124 006
SN 2007le 1392.59              14.234 007                                            
SN 2007le 1394.59              14.023 006 13.815 006 14.189 008 14.142 008 13.921 008
SN 2007le 1395.59   14.934 032 13.963 006 13.754 006 14.162 006 14.085 008 13.851 006
SN 2007le 1398.50                         13.650 006 14.170 008 14.011 008 13.739 007
SN 2007le 1400.58   14.958 021 13.871 005 13.608 004 14.219 006 14.021 007 13.698 006
SN 2007le 1403.55   15.116 018 13.914 004 13.631 007 14.286 006 14.113 007 13.713 006
SN 2007le 1403.55                         13.621 006 14.295 006                      
SN 2007le 1407.61   15.442 024 14.090 005 13.825 004 14.498 007 14.352 006 13.843 005
SN 2007le 1409.57   15.596 025 14.217 006 13.963 006 14.644 008 14.519 008 13.948 007
SN 2007le 1411.57   15.875 021 14.364 006 14.114 006 14.836 008 14.714 006 14.077 006
SN 2007le 1413.59   16.130 021 14.523 004 14.250 004 14.923 005 14.924 007 14.217 004
SN 2007le 1417.62   16.629 026 14.853 006 14.347 006 14.867 008 15.365 008 14.424 006
SN 2007le 1426.55   17.556 024 15.618 008 14.480 006 14.643 008 16.190 010 14.877 006
SN 2007le 1428.56   17.647 070 15.779 006 14.562 004 14.655 004 16.361 012 14.986 006
SN 2007le 1428.56   17.795 055                                                       
